Game Date,Team,Opponent,GS,AB,Runs,Hits,2B,3B,HR,RBI,BB,IBB,HBP,K,SB,CS,SH,SF,GDP,CI,bats,hitter_name,FANTASY_PTS
"04/03/2016
",SLN,At PIT,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,2
"04/05/2016
",SLN,At PIT,1,5,1,2,0,0,1,2,0,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,19
"04/06/2016
",SLN,At PIT,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,0
"04/08/2016
",SLN,At ATL,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,3
"04/10/2016
",SLN,At ATL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,2
"04/13/2016
",SLN,Vs. MIL,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,0
"04/16/2016
",SLN,Vs. CIN,1,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,7
"04/17/2016
",SLN,Vs. CIN,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,14
"04/18/2016
",SLN,Vs. CHN,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,0
"04/19/2016
",SLN,Vs. CHN,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,0
"04/22/2016
",SLN,At SDN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"04/23/2016
",SLN,At SDN,1,5,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,24
"04/24/2016
",SLN,At SDN,1,5,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,27
"04/25/2016
",SLN,At ARI,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,R,Jedd_Gyorko,0
"04/26/2016
",SLN,At ARI,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,0
"04/27/2016
",SLN,At ARI,1,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,9
"04/28/2016
",SLN,At ARI,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,0
"04/29/2016
",SLN,Vs. WSH,1,3,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,7
"04/30/2016
",SLN,Vs. WSH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"05/01/2016
",SLN,Vs. WSH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"05/04/2016
",SLN,Vs. PHI,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,3
"05/05/2016
",SLN,Vs. PHI,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,4
"05/06/2016
",SLN,Vs. PIT,1,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,2
"05/07/2016
",SLN,Vs. PIT,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,0
"05/08/2016
",SLN,Vs. PIT,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"05/10/2016
",SLN,At LAA,1,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,10
"05/13/2016
",SLN,At LAN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"05/14/2016
",SLN,At LAN,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,5
"05/17/2016
",SLN,Vs. COL,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,0
"05/19/2016
",SLN,Vs. COL,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,0
"05/20/2016
",SLN,Vs. ARI,1,3,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,11
"05/21/2016
",SLN,Vs. ARI,1,4,1,2,0,0,1,3,0,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,21
"05/24/2016
",SLN,Vs. CHN,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,5
"05/25/2016
",SLN,Vs. CHN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"05/26/2016
",SLN,At WSH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"05/28/2016
",SLN,At WSH,1,3,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,6
"05/29/2016
",SLN,At WSH,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,8
"05/31/2016
",SLN,At MIL,1,4,1,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,21
"06/03/2016
",SLN,Vs. SFN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"06/05/2016
",SLN,Vs. SFN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,3
"06/07/2016
",SLN,At CIN,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,5
"06/09/2016
",SLN,At CIN,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,0
"06/10/2016
",SLN,At PIT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"06/11/2016
",SLN,At PIT,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,2
"06/12/2016
",SLN,At PIT,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,R,Jedd_Gyorko,0
