Unnamed: 0,Opp,opp_pitcher,Gm#,Team,Date
1,COL,Bergman,2,ARI,4/5/2016
4,CHC,Cahill,5,ARI,4/8/2016
7,LAD,Hatcher,8,ARI,4/12/2016
10,SDP,Rodney,11,ARI,4/15/2016
12,SDP,Erlin,13,ARI,4/17/2016
13,SFG,Heston,14,ARI,4/18/2016
14,SFG,Cain,15,ARI,4/19/2016
15,SFG,Bumgarner,16,ARI,4/20/2016
16,SFG,Cueto,17,ARI,4/21/2016
18,PIT,Nicasio,19,ARI,4/23/2016
20,STL,Bowman,21,ARI,4/25/2016
23,STL,Wacha,24,ARI,4/28/2016
30,ATL,Blair,31,ARI,5/6/2016
31,ATL,Norris,32,ARI,5/7/2016
32,ATL,Johnson,33,ARI,5/8/2016
33,COL,Chatwood,34,ARI,5/9/2016
34,COL,Rusin,35,ARI,5/10/2016
40,NYY,Green,41,ARI,5/16/2016
41,NYY,Pineda,42,ARI,5/17/2016
43,STL,Martinez,44,ARI,5/20/2016
45,STL,Garcia,46,ARI,5/22/2016
51,SDP,Vargas,51,ARI,5/28/2016
52,SDP,Pomeranz,52,ARI,5/29/2016
56,HOU,Keuchel,56,ARI,6/2/2016
59,CHC,Arrieta,59,ARI,6/5/2016
61,TBR,Moore,61,ARI,6/7/2016
64,MIA,Fernandez,64,ARI,6/11/2016
65,MIA,Conley,65,ARI,6/12/2016
66,LAD,Bolsinger,66,ARI,6/13/2016
69,PHI,Morgan,69,ARI,6/17/2016
70,PHI,Eickhoff,70,ARI,6/18/2016
71,PHI,Eflin,71,ARI,6/19/2016
72,PHI,Hellickson,72,ARI,6/20/2016
73,TOR,Estrada,73,ARI,6/21/2016
75,COL,Estevez,75,ARI,6/23/2016
76,COL,Estevez,76,ARI,6/24/2016
83,SFG,Strickland,83,ARI,7/2/2016
86,SDP,Friedrich,86,ARI,7/5/2016
92,LAD,Fien,92,ARI,7/16/2016
93,LAD,Maeda,93,ARI,7/17/2016
98,CIN,Finnegan,98,ARI,7/24/2016
102,MIL,Nelson,101,ARI,7/27/2016
105,LAD,Kazmir,104,ARI,7/30/2016
110,MIL,Boyer,109,ARI,8/5/2016
112,MIL,Nelson,111,ARI,8/7/2016
113,NYM,Robles,112,ARI,8/9/2016
114,NYM,Blevins,113,ARI,8/10/2016
115,NYM,Syndergaard,114,ARI,8/11/2016
119,NYM,Colon,118,ARI,8/15/2016
121,NYM,Niese,120,ARI,8/17/2016
124,SDP,Richard,123,ARI,8/20/2016
126,ATL,Gant,125,ARI,8/22/2016
128,ATL,Ramirez,127,ARI,8/24/2016
130,CIN,Wood,129,ARI,8/26/2016
