,Opp,opp_pitcher,Gm#,Team,Date
0,SFG,Melancon,1,ARI,04/02/2017
2,SFG,Moore,3,ARI,04/05/2017
3,SFG,Samardzija,4,ARI,04/06/2017
4,CLE,Tomlin,5,ARI,04/07/2017
5,CLE,Bauer,6,ARI,04/08/2017
6,CLE,Kluber,7,ARI,04/09/2017
8,SFG,Samardzija,9,ARI,04/11/2017
12,LAD,Hill,13,ARI,04/16/2017
13,LAD,Hatcher,14,ARI,04/17/2017
14,SDP,Cosart,15,ARI,04/18/2017
17,LAD,Stripling,18,ARI,04/21/2017
18,LAD,Maeda,19,ARI,04/22/2017
20,SDP,Chacin,21,ARI,04/24/2017
21,SDP,Richard,22,ARI,04/25/2017
23,SDP,Weaver,24,ARI,04/27/2017
26,COL,Lyles,27,ARI,04/30/2017
27,WSN,Roark,28,ARI,05/02/2017
30,COL,Marquez,31,ARI,05/05/2017
34,DET,Boyd,35,ARI,05/10/2017
35,PIT,Cole,36,ARI,05/11/2017
36,PIT,Glasnow,37,ARI,05/12/2017
39,NYM,Robles,40,ARI,05/15/2017
40,NYM,Milone,41,ARI,05/16/2017
41,NYM,Montero,42,ARI,05/17/2017
42,SDP,Weaver,43,ARI,05/19/2017
43,SDP,Perdomo,44,ARI,05/20/2017
45,CHW,Gonzalez,46,ARI,05/22/2017
46,CHW,Covey,47,ARI,05/23/2017
47,CHW,Quintana,48,ARI,05/24/2017
48,MIL,Davies,49,ARI,05/25/2017
49,MIL,Peralta,50,ARI,05/26/2017
53,PIT,Nova,54,ARI,05/30/2017
54,PIT,Marinez,55,ARI,05/31/2017
55,MIA,Barraclough,56,ARI,06/01/2017
59,SDP,Lamet,60,ARI,06/06/2017
60,SDP,Perdomo,61,ARI,06/07/2017
61,SDP,Richard,62,ARI,06/08/2017
63,MIL,Guerra,64,ARI,06/10/2017
64,MIL,Anderson,65,ARI,06/11/2017
65,DET,Wilson,66,ARI,06/13/2017
66,DET,Zimmermann,67,ARI,06/14/2017
67,PHI,Nola,68,ARI,06/16/2017
68,PHI,Ramos,69,ARI,06/17/2017
69,PHI,Gomez,70,ARI,06/18/2017
71,COL,Hoffman,72,ARI,06/21/2017
72,COL,Senzatela,73,ARI,06/22/2017
74,PHI,Lively,75,ARI,06/24/2017
75,PHI,Ramos,76,ARI,06/25/2017
76,PHI,Pivetta,77,ARI,06/26/2017
77,STL,Bowman,78,ARI,06/27/2017
81,COL,Chatwood,82,ARI,07/01/2017
82,COL,Ottavino,83,ARI,07/02/2017
86,CIN,Adleman,87,ARI,07/07/2017
92,CIN,Romano,93,ARI,07/18/2017
94,CIN,Castillo,95,ARI,07/20/2017
95,WSN,Romero,96,ARI,07/21/2017
98,ATL,Dickey,99,ARI,07/24/2017
100,ATL,Blair,101,ARI,07/26/2017
101,STL,Weaver,102,ARI,07/27/2017
103,STL,Leake,104,ARI,07/29/2017
106,CHC,Arrieta,107,ARI,08/02/2017
107,CHC,Davis,108,ARI,08/03/2017
108,SFG,Bumgarner,109,ARI,08/04/2017
111,LAD,Watson,112,ARI,08/08/2017
115,CHC,Lester,116,ARI,08/12/2017
117,HOU,McHugh,118,ARI,08/14/2017
120,HOU,Fiers,121,ARI,08/17/2017
124,NYM,Goeddel,125,ARI,08/21/2017
125,NYM,Milone,126,ARI,08/22/2017
127,NYM,Montero,128,ARI,08/24/2017
128,SFG,Blach,129,ARI,08/25/2017
129,SFG,Bumgarner,130,ARI,08/26/2017
130,SFG,Stratton,131,ARI,08/27/2017
131,LAD,Hill,132,ARI,08/29/2017
132,LAD,Ryu,133,ARI,08/30/2017
133,LAD,Maeda,134,ARI,08/31/2017
134,COL,Freeland,135,ARI,09/01/2017
135,COL,Gray,136,ARI,09/02/2017
136,COL,Marquez,137,ARI,09/03/2017
137,LAD,Hill,138,ARI,09/04/2017
138,LAD,Baez,139,ARI,09/05/2017
139,LAD,Avilan,140,ARI,09/06/2017
142,SDP,Perdomo,143,ARI,09/10/2017
145,COL,Marquez,146,ARI,09/13/2017
146,COL,Bettis,147,ARI,09/14/2017
147,SFG,Samardzija,148,ARI,09/15/2017
148,SFG,Bumgarner,149,ARI,09/16/2017
152,SDP,Stammen,153,ARI,09/20/2017
153,MIA,McGowan,154,ARI,09/22/2017
155,MIA,Nicolino,156,ARI,09/24/2017
157,SFG,Moore,158,ARI,09/26/2017
158,SFG,Dyson,159,ARI,09/27/2017
161,KCR,Vargas,162,ARI,10/01/2017
1,SFG,Cueto,2,ARI,04/04/2017
7,SFG,Moore,8,ARI,04/10/2017
9,SFG,Cain,10,ARI,04/12/2017
10,LAD,Kershaw,11,ARI,04/14/2017
11,LAD,Wood,12,ARI,04/15/2017
15,SDP,Chacin,16,ARI,04/19/2017
16,SDP,Richard,17,ARI,04/20/2017
19,LAD,McCarthy,20,ARI,04/23/2017
22,SDP,Buchter,23,ARI,04/26/2017
24,COL,Freeland,25,ARI,04/28/2017
25,COL,Estevez,26,ARI,04/29/2017
28,WSN,Turner,29,ARI,05/03/2017
29,WSN,Scherzer,30,ARI,05/04/2017
31,COL,Anderson,32,ARI,05/06/2017
32,COL,Chatwood,33,ARI,05/07/2017
33,DET,Verlander,34,ARI,05/09/2017
37,PIT,Williams,38,ARI,05/13/2017
38,PIT,Watson,39,ARI,05/14/2017
44,SDP,Richard,45,ARI,05/21/2017
50,MIL,Anderson,51,ARI,05/27/2017
51,MIL,Nelson,52,ARI,05/28/2017
52,PIT,Watson,53,ARI,05/29/2017
56,MIA,McGowan,57,ARI,06/02/2017
57,MIA,Volquez,58,ARI,06/03/2017
58,MIA,Wittgren,59,ARI,06/04/2017
62,MIL,Davies,63,ARI,06/09/2017
70,COL,Ottavino,71,ARI,06/20/2017
73,PHI,Leiter,74,ARI,06/23/2017
78,STL,Wainwright,79,ARI,06/28/2017
79,STL,Lynn,80,ARI,06/29/2017
80,COL,Gray,81,ARI,06/30/2017
83,LAD,Kershaw,84,ARI,07/04/2017
84,LAD,Wood,85,ARI,07/05/2017
85,LAD,Fields,86,ARI,07/06/2017
87,CIN,Castillo,88,ARI,07/08/2017
88,CIN,Bailey,89,ARI,07/09/2017
89,ATL,Brothers,90,ARI,07/14/2017
90,ATL,Krol,91,ARI,07/15/2017
91,ATL,Garcia,92,ARI,07/16/2017
93,CIN,Lorenzen,94,ARI,07/19/2017
96,WSN,Roark,97,ARI,07/22/2017
97,WSN,Blanton,98,ARI,07/23/2017
99,ATL,Foltynewicz,100,ARI,07/25/2017
102,STL,Wacha,103,ARI,07/28/2017
104,STL,Lynn,105,ARI,07/30/2017
105,CHC,Rondon,106,ARI,08/01/2017
109,SFG,Strickland,110,ARI,08/05/2017
110,SFG,Samardzija,111,ARI,08/06/2017
112,LAD,Wood,113,ARI,08/09/2017
113,LAD,Darvish,114,ARI,08/10/2017
114,CHC,Lackey,115,ARI,08/11/2017
116,CHC,Arrieta,117,ARI,08/13/2017
118,HOU,Martes,119,ARI,08/15/2017
119,HOU,Morton,120,ARI,08/16/2017
121,MIN,Santana,122,ARI,08/18/2017
122,MIN,Berrios,123,ARI,08/19/2017
123,MIN,Colon,124,ARI,08/20/2017
126,NYM,Flexen,127,ARI,08/23/2017
140,SDP,Lyles,141,ARI,09/08/2017
141,SDP,Maton,142,ARI,09/09/2017
143,COL,Anderson,144,ARI,09/11/2017
144,COL,Gray,145,ARI,09/12/2017
149,SFG,Stratton,150,ARI,09/17/2017
150,SDP,Perdomo,151,ARI,09/18/2017
151,SDP,Wood,152,ARI,09/19/2017
154,MIA,Ellington,155,ARI,09/23/2017
156,SFG,Cueto,157,ARI,09/25/2017
159,KCR,Kennedy,160,ARI,09/29/2017
160,KCR,Junis,161,ARI,09/30/2017
1,NYM,Montero,2,ATL,04/05/2017
7,MIA,Ramos,8,ATL,04/12/2017
8,SDP,Chacin,9,ATL,04/14/2017
9,SDP,Richard,10,ATL,04/15/2017
10,SDP,Cahill,11,ATL,04/16/2017
11,SDP,Maurer,12,ATL,04/17/2017
18,NYM,Gsellman,19,ATL,04/26/2017
19,NYM,Harvey,20,ATL,04/27/2017
20,MIL,Feliz,21,ATL,04/28/2017
21,MIL,Nelson,22,ATL,04/29/2017
24,NYM,Harvey,25,ATL,05/02/2017
31,MIA,Urena,32,ATL,05/12/2017
32,MIA,Volquez,33,ATL,05/13/2017
34,TOR,Bolsinger,35,ATL,05/15/2017
35,TOR,Barnes,36,ATL,05/16/2017
36,TOR,Biagini,37,ATL,05/17/2017
38,WSN,Romero,39,ATL,05/19/2017
39,WSN,Scherzer,40,ATL,05/20/2017
41,PIT,Cole,42,ATL,05/22/2017
42,PIT,Watson,43,ATL,05/23/2017
45,SFG,Cain,46,ATL,05/26/2017
48,LAA,Nolasco,49,ATL,05/29/2017
52,CIN,Wood,53,ATL,06/03/2017
53,CIN,Garrett,54,ATL,06/04/2017
56,PHI,Eickhoff,57,ATL,06/07/2017
57,PHI,Lively,58,ATL,06/08/2017
58,NYM,Salas,59,ATL,06/09/2017
62,WSN,Albers,63,ATL,06/12/2017
64,WSN,Roark,65,ATL,06/14/2017
66,MIA,Ramos,67,ATL,06/17/2017
67,MIA,Steckenrider,68,ATL,06/18/2017
68,SFG,Cueto,69,ATL,06/19/2017
70,SFG,Gearrin,71,ATL,06/21/2017
71,SFG,Cain,72,ATL,06/22/2017
72,MIL,Nelson,73,ATL,06/23/2017
73,MIL,Garza,74,ATL,06/24/2017
75,SDP,Chacin,76,ATL,06/27/2017
78,OAK,Gray,79,ATL,06/30/2017
79,OAK,Casilla,80,ATL,07/01/2017
80,OAK,Axford,81,ATL,07/02/2017
83,WSN,Gonzalez,84,ATL,07/06/2017
85,WSN,Strasburg,86,ATL,07/08/2017
87,ARI,Bradley,88,ATL,07/14/2017
88,ARI,Delgado,89,ATL,07/15/2017
89,ARI,Godley,90,ATL,07/16/2017
93,LAD,McCarthy,94,ATL,07/20/2017
94,LAD,Wood,95,ATL,07/21/2017
98,ARI,Hoover,99,ATL,07/25/2017
105,LAD,Baez,106,ATL,08/02/2017
107,MIA,Conley,108,ATL,08/04/2017
108,MIA,Straily,109,ATL,08/05/2017
114,STL,Wacha,115,ATL,08/13/2017
116,COL,Neshek,117,ATL,08/15/2017
118,COL,Hoffman,119,ATL,08/17/2017
121,CIN,Castillo,122,ATL,08/20/2017
123,SEA,Gonzales,124,ATL,08/22/2017
125,COL,Bettis,126,ATL,08/25/2017
129,PHI,Eickhoff,130,ATL,
130,PHI,Leiter,131,ATL,
134,CHC,Montgomery,135,ATL,09/03/2017
137,TEX,Hamels,138,ATL,
138,MIA,Ziegler,139,ATL,09/07/2017
140,MIA,Barraclough,141,ATL,09/09/2017
141,MIA,Worley,142,ATL,09/10/2017
142,WSN,Gonzalez,143,ATL,09/12/2017
143,WSN,Scherzer,144,ATL,09/13/2017
145,NYM,Montero,146,ATL,09/15/2017
150,WSN,Roark,151,ATL,09/21/2017
151,PHI,Lively,152,ATL,09/22/2017
152,PHI,Garcia,153,ATL,09/23/2017
154,NYM,Flexen,155,ATL,
161,MIA,Tazawa,162,ATL,10/01/2017
0,NYM,Robles,1,ATL,04/03/2017
2,NYM,Harvey,3,ATL,04/06/2017
3,PIT,Nova,4,ATL,04/07/2017
4,PIT,Kuhl,5,ATL,04/08/2017
5,PIT,Rivero,6,ATL,04/09/2017
6,MIA,Straily,7,ATL,04/11/2017
12,WSN,Scherzer,13,ATL,04/18/2017
13,WSN,Ross,14,ATL,04/19/2017
14,WSN,Strasburg,15,ATL,04/20/2017
15,PHI,Hellickson,16,ATL,04/21/2017
16,PHI,Gomez,17,ATL,04/22/2017
17,PHI,Rodriguez,18,ATL,04/23/2017
22,MIL,Garza,23,ATL,04/30/2017
23,NYM,Gsellman,24,ATL,05/01/2017
25,NYM,deGrom,26,ATL,05/03/2017
26,STL,Lynn,27,ATL,05/05/2017
27,STL,Leake,28,ATL,05/06/2017
28,STL,Tuivailala,29,ATL,05/07/2017
29,HOU,Morton,30,ATL,05/09/2017
30,HOU,Musgrove,31,ATL,05/10/2017
33,MIA,Barraclough,34,ATL,05/14/2017
37,TOR,Stroman,38,ATL,05/18/2017
40,WSN,Strasburg,41,ATL,05/21/2017
43,PIT,Rivero,44,ATL,05/24/2017
44,PIT,Nova,45,ATL,05/25/2017
46,SFG,Blach,47,ATL,05/27/2017
47,SFG,Cueto,48,ATL,05/28/2017
49,LAA,Bridwell,50,ATL,05/30/2017
50,LAA,Parker,51,ATL,05/31/2017
51,CIN,Iglesias,52,ATL,06/02/2017
54,PHI,Pivetta,55,ATL,06/05/2017
55,PHI,Nola,56,ATL,06/06/2017
59,NYM,Gsellman,60,ATL,
60,NYM,Matz,61,ATL,
61,NYM,Lugo,62,ATL,06/11/2017
63,WSN,Gott,64,ATL,06/13/2017
65,MIA,Straily,66,ATL,06/16/2017
69,SFG,Moore,70,ATL,06/20/2017
74,MIL,Davies,75,ATL,06/25/2017
76,SDP,Perdomo,77,ATL,06/28/2017
77,SDP,Lamet,78,ATL,06/29/2017
81,HOU,Peacock,82,ATL,07/04/2017
82,HOU,Devenski,83,ATL,07/05/2017
84,WSN,Albers,85,ATL,07/07/2017
86,WSN,Grace,87,ATL,07/09/2017
90,CHC,Lester,91,ATL,07/17/2017
91,CHC,Lackey,92,ATL,07/18/2017
92,CHC,Montgomery,93,ATL,07/19/2017
95,LAD,Hill,96,ATL,07/22/2017
96,LAD,Morrow,97,ATL,07/23/2017
97,ARI,Greinke,98,ATL,07/24/2017
99,ARI,Corbin,100,ATL,07/26/2017
100,PHI,Thompson,101,ATL,07/28/2017
101,PHI,Neris,102,ATL,07/29/2017
102,PHI,Neris,103,ATL,07/30/2017
103,PHI,Pivetta,104,ATL,07/31/2017
104,LAD,Maeda,105,ATL,08/01/2017
106,LAD,Wood,107,ATL,08/03/2017
109,MIA,Urena,110,ATL,08/06/2017
110,PHI,Eflin,111,ATL,08/08/2017
111,PHI,Eickhoff,112,ATL,08/09/2017
112,STL,Wainwright,113,ATL,08/11/2017
113,STL,Martinez,114,ATL,08/12/2017
115,COL,Dunn,116,ATL,08/14/2017
117,COL,Gray,118,ATL,08/16/2017
119,CIN,Romano,120,ATL,08/18/2017
120,CIN,Stephenson,121,ATL,08/19/2017
122,SEA,Albers,123,ATL,08/21/2017
124,SEA,Phelps,125,ATL,08/23/2017
126,COL,Neshek,127,ATL,08/26/2017
127,COL,Gray,128,ATL,08/27/2017
128,PHI,Nola,129,ATL,08/28/2017
131,CHC,Hendricks,132,ATL,08/31/2017
132,CHC,Lackey,133,ATL,09/01/2017
133,CHC,Lester,134,ATL,09/02/2017
135,TEX,Cashner,136,ATL,09/04/2017
136,TEX,Bibens-Dirkx,137,ATL,
139,MIA,Urena,140,ATL,09/08/2017
144,WSN,Roark,145,ATL,09/14/2017
146,NYM,deGrom,147,ATL,09/16/2017
147,NYM,Gsellman,148,ATL,09/17/2017
148,WSN,Scherzer,149,ATL,09/19/2017
149,WSN,Gonzalez,150,ATL,09/20/2017
153,PHI,Pivetta,154,ATL,09/24/2017
155,NYM,Lugo,156,ATL,
156,NYM,Familia,157,ATL,09/26/2017
157,NYM,Gsellman,158,ATL,09/27/2017
158,MIA,Peters,159,ATL,09/28/2017
159,MIA,Conley,160,ATL,09/29/2017
160,MIA,Despaigne,161,ATL,09/30/2017
0,TOR,Grilli,1,BAL,04/03/2017
1,TOR,Happ,2,BAL,04/05/2017
2,NYY,Clippard,3,BAL,04/07/2017
3,NYY,Betances,4,BAL,04/08/2017
6,BOS,Wright,7,BAL,04/12/2017
7,TOR,Liriano,8,BAL,04/13/2017
8,TOR,Sanchez,9,BAL,04/14/2017
10,TOR,Happ,11,BAL,04/16/2017
12,CIN,Garrett,13,BAL,04/19/2017
13,CIN,Wood,14,BAL,04/20/2017
14,BOS,Pomeranz,15,BAL,04/21/2017
15,BOS,Wright,16,BAL,04/22/2017
17,TBR,Archer,18,BAL,04/24/2017
19,TBR,Colome,20,BAL,04/26/2017
22,NYY,Mitchell,23,BAL,04/30/2017
23,BOS,Porcello,24,BAL,05/01/2017
26,BOS,Kendrick,27,BAL,05/04/2017
27,CHW,Gonzalez,28,BAL,05/05/2017
28,CHW,Covey,29,BAL,05/06/2017
29,CHW,Quintana,30,BAL,05/07/2017
30,WSN,Gonzalez,31,BAL,05/08/2017
31,WSN,Turner,32,BAL,05/09/2017
36,DET,Rodriguez,37,BAL,05/16/2017
39,TOR,Grilli,40,BAL,05/19/2017
40,TOR,Barnes,41,BAL,05/20/2017
48,NYY,Montgomery,49,BAL,05/29/2017
50,NYY,Tanaka,51,BAL,05/31/2017
51,BOS,Rodriguez,52,BAL,06/01/2017
52,BOS,Porcello,53,BAL,06/02/2017
55,PIT,LeBlanc,56,BAL,06/06/2017
56,PIT,LeBlanc,57,BAL,06/07/2017
63,CHW,Gonzalez,64,BAL,06/14/2017
66,STL,Wainwright,67,BAL,06/17/2017
67,STL,Lynn,68,BAL,06/18/2017
69,CLE,Shaw,70,BAL,06/20/2017
73,TBR,Alvarado,74,BAL,06/24/2017
74,TBR,Colome,75,BAL,06/25/2017
75,TOR,Biagini,76,BAL,06/27/2017
77,TOR,Happ,78,BAL,06/29/2017
80,TBR,Cobb,81,BAL,07/02/2017
86,MIN,Mejia,87,BAL,07/08/2017
87,MIN,Gibson,88,BAL,07/09/2017
91,TEX,Cashner,92,BAL,07/17/2017
92,TEX,Ross,93,BAL,07/18/2017
93,TEX,Perez,94,BAL,07/19/2017
94,TEX,Hamels,95,BAL,07/20/2017
97,HOU,Gregerson,98,BAL,07/23/2017
98,TBR,Snell,99,BAL,07/24/2017
102,TEX,Bibens-Dirkx,103,BAL,07/29/2017
103,TEX,Perez,104,BAL,07/30/2017
104,KCR,Soria,105,BAL,07/31/2017
105,KCR,Kennedy,106,BAL,08/01/2017
106,KCR,Vargas,107,BAL,08/02/2017
109,DET,Jimenez,110,BAL,08/05/2017
110,DET,Sanchez,111,BAL,08/06/2017
111,LAA,Ramirez,112,BAL,08/07/2017
114,OAK,Smith,115,BAL,08/10/2017
116,OAK,Manaea,117,BAL,08/12/2017
118,SEA,Gallardo,119,BAL,08/14/2017
121,LAA,Middleton,122,BAL,08/18/2017
124,OAK,Smith,125,BAL,08/21/2017
126,OAK,Castro,127,BAL,08/23/2017
127,BOS,Porcello,128,BAL,08/25/2017
128,BOS,Rodriguez,129,BAL,08/26/2017
129,BOS,Fister,130,BAL,08/27/2017
130,SEA,Pagan,131,BAL,08/28/2017
131,SEA,Ramirez,132,BAL,08/29/2017
132,SEA,Bergman,133,BAL,08/30/2017
134,TOR,Loup,135,BAL,09/01/2017
136,TOR,Barnes,137,BAL,09/03/2017
138,NYY,Betances,139,BAL,09/05/2017
145,TOR,Stroman,146,BAL,09/13/2017
149,NYY,Gray,150,BAL,09/17/2017
153,TBR,Andriese,154,BAL,09/21/2017
156,TBR,Archer,157,BAL,09/24/2017
4,NYY,Betances,5,BAL,04/09/2017
5,BOS,Pomeranz,6,BAL,04/11/2017
9,TOR,Osuna,10,BAL,04/15/2017
11,CIN,Arroyo,12,BAL,04/18/2017
16,BOS,Rodriguez,17,BAL,04/23/2017
